feature,importance
land_area,0.21642971413094858
building_age,0.1946044199786153
building_area,0.09947299616356886
no_of_floor,0.05989368041409576
dist_to_asoke,0.05416082527685579
dist_to_siam_paragon,0.053342521898341516
dist_to_bts,0.043102477258698854
building_style_encoded,0.023043963091165142
property_count,0.0129382706900896
dist_to_silom,0.010521278378431845
flood_risk,0.010061179953460819
dist_to_cbd_min,0.006895291233524856
poi_total,0.0058107581570455286
poi_transit_stop,0.001658688196541342
poi_school,0.0006192479296011738
transit_total,0.0003097607564572958
poi_hospital,0.0
poi_mall,0.0
poi_restaurant,0.0
poi_cafe,0.0
poi_supermarket,0.0
poi_park,0.0
poi_temple,0.0
